ID,Parent
22240,-1
22241,-1
22239,-1
22242,-1
22243,-1
22244,-1
22245,-1
22246,-1
22247,-1
22248,-1
22250,-1
22249,-1
22251,-1
22252,-1
22253,-1
22254,-1
22255,-1
22259,-1
22256,-1
22260,-1
22261,-1
22262,-1
22263,-1
22257,-1
22264,-1
22265,-1
22267,-1
22268,-1
22258,-1
22266,-1
22269,-1
22270,-1
22271,-1
22272,-1
22273,-1
22274,-1
22276,-1
22275,-1
22277,-1
22278,-1
22279,-1
22280,-1
22281,-1
22282,-1
22283,-1
22290,-1
22284,-1
22285,-1
22286,-1
22287,-1
22288,-1
22291,-1
22289,-1
22292,-1
22293,-1
22295,-1
22294,-1
22296,-1
43309,-1
43311,-1
43310,-1
43319,-1
43320,-1
43321,-1
43322,-1
43327,-1
43323,-1
43328,-1
43324,-1
43329,-1
43325,-1
43330,-1
43326,-1
43331,-1
43332,-1
43333,-1
43334,-1
43335,-1
43336,-1
43339,-1
43337,-1
43340,-1
43338,-1
43341,-1
43342,-1
43343,-1
43344,-1
43346,-1
43345,-1
43347,-1
43348,-1
43349,-1
43350,-1
43351,-1
43352,-1
43353,-1
43354,-1
43355,-1
43356,-1
43359,-1
43357,-1
43358,-1
43360,-1
43361,-1
43362,-1
43363,-1
43365,-1
43364,-1
43366,-1
43367,-1
43368,-1
43369,-1
43370,-1
43312,-1
43313,-1
43314,-1
43315,-1
43316,-1
43318,-1
43317,-1
8799,-1
8797,-1
8798,-1
8800,-1
8801,-1
8802,-1
8803,-1
8805,-1
8804,-1
8806,-1
8807,-1
8808,-1
8809,-1
8810,-1
8811,-1
8812,-1
8813,-1
8814,-1
8819,-1
8827,-1
8826,-1
8825,-1
8815,-1
8816,-1
8817,-1
8820,-1
8821,-1
8818,-1
8822,-1
8824,-1
8823,-1
8828,-1
8832,-1
8831,-1
8833,-1
8829,-1
8830,-1
8834,-1
8835,-1
8841,-1
8836,-1
8837,-1
8838,-1
8839,-1
8842,-1
8840,-1
8843,-1
8844,-1
8846,-1
8845,-1
8847,-1
8848,-1
8849,-1
8850,-1
8851,-1
8852,-1
8856,-1
8857,-1
8853,-1
8854,-1
8855,-1
8858,-1
8867,-1
8859,-1
8860,-1
8866,-1
8861,-1
8862,-1
8863,-1
8864,-1
8865,-1
8868,-1
8876,-1
8869,-1
8877,-1
8870,-1
8878,-1
8871,-1
8879,-1
8872,-1
8873,-1
8874,-1
8875,-1
8881,-1
8880,-1
8882,-1
8883,-1
8884,-1
8886,-1
8885,-1
8887,-1
8888,-1
8889,-1
8890,-1
8893,-1
8891,-1
8894,-1
8895,-1
8892,-1
8896,-1
8897,-1
8898,-1
8900,-1
8899,-1
8902,-1
8901,-1
8903,-1
8904,-1
8906,-1
8905,-1
8908,-1
8907,-1
8910,-1
8909,-1
8911,-1
8912,-1
8915,-1
8916,-1
8914,-1
8913,-1
8917,-1
8918,-1
8920,-1
8921,-1
8923,-1
8922,-1
8919,-1
8924,-1
8925,-1
8926,-1
8928,-1
8930,-1
8929,-1
8927,-1
8931,-1
8932,-1
8933,-1
8934,-1
8935,-1
8936,-1
8937,-1
8938,-1
8939,-1
8940,-1
8941,-1
8943,-1
8942,-1
8944,-1
8945,-1
8947,-1
8948,-1
8946,-1
8950,-1
8949,-1
8951,-1
8952,-1
8955,-1
8956,-1
8953,-1
8954,-1
8957,-1
8958,-1
8959,-1
8962,-1
8960,-1
8963,-1
8961,-1
8964,-1
8965,-1
8969,-1
8970,-1
8971,-1
8972,-1
8966,-1
8973,-1
8976,-1
8977,-1
8967,-1
8974,-1
8968,-1
8975,-1
8978,-1
8985,-1
8979,-1
8986,-1
8980,-1
8987,-1
8981,-1
8988,-1
8982,-1
8989,-1
8983,-1
8990,-1
8984,-1
8991,-1
8992,-1
8999,-1
8993,-1
9000,-1
8994,-1
9001,-1
8995,-1
9002,-1
9003,-1
8998,-1
8997,-1
8996,-1
9004,-1
9006,-1
9005,-1
9007,-1
9008,-1
9009,-1
9010,-1
9011,-1
9012,-1
9013,-1
9014,-1
9015,-1
9017,-1
9016,-1
9018,-1
9019,-1
9021,-1
9022,-1
9020,-1
9023,-1
9025,-1
9026,-1
9027,-1
9024,-1
9028,-1
9029,-1
9031,-1
9030,-1
9032,-1
9033,-1
9034,-1
9036,-1
9035,-1
9037,-1
9038,-1
9039,-1
9040,-1
56188,-1
56189,-1
56190,-1
56191,-1
56194,-1
56195,-1
56192,-1
56196,-1
56198,-1
56199,-1
56193,-1
56197,-1
56200,-1
56201,-1
56202,-1
56203,-1
56204,-1
56205,-1
56206,-1
56207,-1
56208,-1
56209,-1
56216,-1
56210,-1
56212,-1
56213,-1
56214,-1
56215,-1
56211,-1
56217,-1
56218,-1
56221,-1
56222,-1
56220,-1
56219,-1
56223,-1
56224,-1
56225,-1
56232,-1
56233,-1
56229,-1
56226,-1
56230,-1
56227,-1
56231,-1
56228,-1
56234,-1
56235,-1
56236,-1
56237,-1
56238,-1
56242,-1
56239,-1
56240,-1
56243,-1
56241,-1
56244,-1
56249,-1
56250,-1
56245,-1
56251,-1
56252,-1
56253,-1
56246,-1
56254,-1
56247,-1
56255,-1
56256,-1
56257,-1
56248,-1
56258,-1
56259,-1
56260,-1
56261,-1
56262,-1
56263,-1
56264,-1
56265,-1
56266,-1
56267,-1
56268,-1
56269,-1
56270,-1
56273,-1
56271,-1
56272,-1
56275,-1
56274,-1
56276,-1
56277,-1
56278,-1
56279,-1
56280,-1
56281,-1
56282,-1
56283,-1
56284,-1
56285,-1
56286,-1
56287,-1
56288,-1
56289,-1
56290,-1
56291,-1
56292,-1
56293,-1
56294,-1
56295,-1
56296,-1
56297,-1
56298,-1
56299,-1
56300,-1
56301,-1
19513,-1
19514,-1
19515,-1
19517,-1
19516,-1
19518,-1
19519,-1
19520,-1
19523,-1
19521,-1
19522,-1
19524,-1
19525,-1
19526,-1
19527,-1
19528,-1
19529,-1
19530,-1
19532,-1
19531,-1
19533,-1
19534,-1
19535,-1
19536,-1
19537,-1
19541,-1
19542,-1
19538,-1
19539,-1
19540,-1
19543,-1
19546,-1
19544,-1
19547,-1
19545,-1
19548,-1
19549,-1
19550,-1
19551,-1
19552,-1
19553,-1
19556,-1
19557,-1
19558,-1
19559,-1
19554,-1
19560,-1
19555,-1
19561,-1
19562,-1
19567,-1
19563,-1
19564,-1
19565,-1
19568,-1
19566,-1
19569,-1
19570,-1
19571,-1
19572,-1
19573,-1
19574,-1
19577,-1
19578,-1
19579,-1
19575,-1
19576,-1
19580,-1
19581,-1
19589,-1
19591,-1
19582,-1
19583,-1
19584,-1
19585,-1
19586,-1
19587,-1
19588,-1
19590,-1
19592,-1
19593,-1
19594,-1
19595,-1
19596,-1
19597,-1
19598,-1
19599,-1
19600,-1
19601,-1
19610,-1
19611,-1
19606,-1
19607,-1
19605,-1
19608,-1
19602,-1
19603,-1
19604,-1
19609,-1
19612,-1
19613,-1
19615,-1
19614,-1
19616,-1
19619,-1
19617,-1
19620,-1
19621,-1
19618,-1
19622,-1
19623,-1
19624,-1
19625,-1
19626,-1
19627,-1
19628,-1
19629,-1
19630,-1
19631,-1
19632,-1
19633,-1
19634,-1
19635,-1
19636,-1
19638,-1
19639,-1
19640,-1
19642,-1
19644,-1
19637,-1
19641,-1
19643,-1
19645,-1
19646,-1
19653,-1
19647,-1
19655,-1
19657,-1
19652,-1
19648,-1
19649,-1
19654,-1
19650,-1
19656,-1
19658,-1
19651,-1
19659,-1
19660,-1
19666,-1
19667,-1
19661,-1
19662,-1
19663,-1
19669,-1
19671,-1
19668,-1
19664,-1
19665,-1
19670,-1
19672,-1
19673,-1
19680,-1
19674,-1
19675,-1
19676,-1
19677,-1
19678,-1
19679,-1
19681,-1
19682,-1
19683,-1
19686,-1
19687,-1
19684,-1
19688,-1
19689,-1
19685,-1
19690,-1
19692,-1
19694,-1
19691,-1
19693,-1
19695,-1
19696,-1
19697,-1
19698,-1
19700,-1
19699,-1
19701,-1
19702,-1
19704,-1
19703,-1
19705,-1
19706,-1
19707,-1
19709,-1
19708,-1
19710,-1
19711,-1
19712,-1
19713,-1
19714,-1
19715,-1
19717,-1
19716,-1
19718,-1
19719,-1
19720,-1
19723,-1
19724,-1
19721,-1
19725,-1
19726,-1
19722,-1
19727,-1
19728,-1
19729,-1
19733,-1
19730,-1
19731,-1
19732,-1
19734,-1
19735,-1
19736,-1
19737,-1
19738,-1
19742,-1
19739,-1
19740,-1
19741,-1
19744,-1
19743,-1
19745,-1
19749,-1
19750,-1
19751,-1
19752,-1
19747,-1
19748,-1
19746,-1
19753,-1
19754,-1
19755,-1
19756,-1
19767,-1
19757,-1
19768,-1
19766,-1
19758,-1
19759,-1
19762,-1
19760,-1
19761,-1
19764,-1
19769,-1
19763,-1
19765,-1
19770,-1
19773,-1
19774,-1
19771,-1
19775,-1
19776,-1
19772,-1
19777,-1
19778,-1
19779,-1
19780,-1
19781,-1
19782,-1
19783,-1
19784,-1
19785,-1
19786,-1
19787,-1
19788,-1
19791,-1
19792,-1
19789,-1
19793,-1
19790,-1
19794,-1
19795,-1
19796,-1
19797,-1
19798,-1
19799,-1
19800,-1
19801,-1
19802,-1
19803,-1
19805,-1
19804,-1
19806,-1
19807,-1
19809,-1
19808,-1
19810,-1
19811,-1
19812,-1
19813,-1
19814,-1
19815,-1
19819,-1
19820,-1
19821,-1
19816,-1
19822,-1
19823,-1
19817,-1
19824,-1
19818,-1
19826,-1
19825,-1
19827,-1
19828,-1
19829,-1
19830,-1
19831,-1
19832,-1
19833,-1
19834,-1
19835,-1
19836,-1
19837,-1
19838,-1
19839,-1
19840,-1
19841,-1
19842,-1
19843,-1
19846,-1
19844,-1
19847,-1
19848,-1
19850,-1
19845,-1
19849,-1
19851,-1
19852,-1
19853,-1
19854,-1
19855,-1
19856,-1
19857,-1
19860,-1
19859,-1
19858,-1
19861,-1
19862,-1
19863,-1
19864,-1
19865,-1
19866,-1
19867,-1
19868,-1
19869,-1
19870,-1
19873,-1
19874,-1
19871,-1
19875,-1
19876,-1
19877,-1
19878,-1
19872,-1
19879,-1
19880,-1
19881,-1
19882,-1
19883,-1
19884,-1
19887,-1
19885,-1
19888,-1
19886,-1
19889,-1
19890,-1
19891,-1
19894,-1
19895,-1
19896,-1
19897,-1
19892,-1
19898,-1
19899,-1
19893,-1
19900,-1
19901,-1
19902,-1
19910,-1
19903,-1
19904,-1
19905,-1
19906,-1
19907,-1
19908,-1
19909,-1
19911,-1
19913,-1
19912,-1
19914,-1
19916,-1
19917,-1
19920,-1
19921,-1
19915,-1
19918,-1
19919,-1
19922,-1
19923,-1
19924,-1
19927,-1
19925,-1
19928,-1
19929,-1
19926,-1
19930,-1
19931,-1
19940,-1
19932,-1
19941,-1
19933,-1
19934,-1
19942,-1
19935,-1
19943,-1
19936,-1
19937,-1
19938,-1
19939,-1
19944,-1
19945,-1
19946,-1
19947,-1
19948,-1
19949,-1
19955,-1
19950,-1
19956,-1
19951,-1
19957,-1
19952,-1
19954,-1
19953,-1
19958,-1
19959,-1
19960,-1
19961,-1
19962,-1
19963,-1
19964,-1
19966,-1
19965,-1
19967,-1
19968,-1
19969,-1
19970,-1
19971,-1
19972,-1
19978,-1
19979,-1
19980,-1
19973,-1
19981,-1
19982,-1
19983,-1
19984,-1
19974,-1
19985,-1
19975,-1
19977,-1
19976,-1
19986,-1
19987,-1
19991,-1
19989,-1
19990,-1
19988,-1
19992,-1
19993,-1
19994,-1
19995,-1
19996,-1
19997,-1
19998,-1
20001,-1
19999,-1
20002,-1
20004,-1
20003,-1
20000,-1
20005,-1
20006,-1
20007,-1
20008,-1
20009,-1
20010,-1
20011,-1
20012,-1
20013,-1
20014,-1
20015,-1
20016,-1
20017,-1
20018,-1
20019,-1
20020,-1
20021,-1
20022,-1
20025,-1
20023,-1
20026,-1
20024,-1
20028,-1
20027,-1
20029,-1
20030,-1
20031,-1
20032,-1
20033,-1
20034,-1
20035,-1
20036,-1
20037,-1
20038,-1
20039,-1
20040,-1
20041,-1
20042,-1
20043,-1
20044,-1
20045,-1
20046,-1
20047,-1
20048,-1
20052,-1
20049,-1
20050,-1
20051,-1
20053,-1
20054,-1
20057,-1
20055,-1
20056,-1
20058,-1
20066,-1
20061,-1
20067,-1
20062,-1
20059,-1
20068,-1
20063,-1
20069,-1
20064,-1
20071,-1
20060,-1
20070,-1
20065,-1
20072,-1
20077,-1
20073,-1
20079,-1
20080,-1
20081,-1
20074,-1
20075,-1
20078,-1
20076,-1
20082,-1
20083,-1
20084,-1
20087,-1
20088,-1
20085,-1
20086,-1
20089,-1
20090,-1
20093,-1
20095,-1
20094,-1
20096,-1
20091,-1
20092,-1
20097,-1
20104,-1
20098,-1
20105,-1
20099,-1
20106,-1
20100,-1
20107,-1
20101,-1
20102,-1
20103,-1
20108,-1
20109,-1
20110,-1
20111,-1
20112,-1
20113,-1
20114,-1
20115,-1
20116,-1
20118,-1
20119,-1
20120,-1
20121,-1
20117,-1
20122,-1
20123,-1
55775,-1
55776,-1
55777,-1
55778,-1
55779,-1
55780,-1
55781,-1
55782,-1
55783,-1
55784,-1
55785,-1
55786,-1
55789,-1
55790,-1
55791,-1
55787,-1
55795,-1
55796,-1
55788,-1
55792,-1
55793,-1
55794,-1
55797,-1
55798,-1
55799,-1
55800,-1
